"D.PersonID","D.OrderHeaderID","H.ID","DeviceID","H.CreationDatetime","H.H.LastEditionDatetime","D.WorkspaceLocation","user_visit","H.NbDiners","nb_visits","avg_ticketU","Date","pch_freq"
"10296",1173,1173,"18","2016-09-29 20:45:34.347","2016-09-29 20:45:34.347","NULL",0,1,1,3,2016-09-29,0
"10305",1174,1174,"5","2016-09-30 17:34:38.290","2016-09-30 17:34:38.290","NULL",0,2,1,16.5,2016-09-30,0
"10307",1174,1174,"5","2016-09-30 17:34:38.290","2016-09-30 17:34:38.290","NULL",0,2,1,36,2016-09-30,0
"10308",1176,1176,"11","2016-09-30 17:55:12.180","2016-09-30 17:55:12.180","NULL",0,4,1,10,2016-09-30,0
"10309",1176,1176,"11","2016-09-30 17:55:12.180","2016-09-30 17:55:12.180","NULL",0,4,1,27,2016-09-30,0
"10310",1176,1176,"11","2016-09-30 17:55:12.180","2016-09-30 17:55:12.180","NULL",0,4,1,14,2016-09-30,0
"10311",1176,1176,"11","2016-09-30 17:55:12.180","2016-09-30 17:55:12.180","NULL",0,4,1,13,2016-09-30,0
"10312",1175,1175,"9","2016-09-30 17:53:10.837","2016-09-30 17:53:10.837","NULL",0,2,1,20,2016-09-30,0
"10313",1175,1175,"9","2016-09-30 17:53:10.837","2016-09-30 17:53:10.837","NULL",0,2,1,32,2016-09-30,0
"10315",1177,1177,"3","2016-09-30 18:32:54.603","2016-09-30 18:44:36.417","NULL",0,1,1,20,2016-09-30,0
"10316",1177,1177,"3","2016-09-30 18:32:54.603","2016-09-30 18:44:36.417","NULL",0,1,1,26,2016-09-30,0
"10317",1180,1180,"3","2016-09-30 19:33:51.117","2016-09-30 19:33:51.117","NULL",1,1,2,14.25,2016-09-30,0
"10317",1177,1177,"3","2016-09-30 18:32:54.603","2016-09-30 18:44:36.417","NULL",1,1,2,14.25,2016-09-30,0
"10318",1177,1177,"3","2016-09-30 18:32:54.603","2016-09-30 18:44:36.417","NULL",0,1,1,51,2016-09-30,0
"10319",1179,1179,"16","2016-09-30 19:09:11.733","2016-09-30 19:09:11.733","NULL",0,4,1,30.5,2016-09-30,0
"10320",1179,1179,"16","2016-09-30 19:09:11.733","2016-09-30 19:09:11.733","NULL",0,4,1,45,2016-09-30,0
"10321",1179,1179,"16","2016-09-30 19:09:11.733","2016-09-30 19:09:11.733","NULL",0,4,1,51.5,2016-09-30,0
"10322",1179,1179,"16","2016-09-30 19:09:11.733","2016-09-30 19:09:11.733","NULL",0,4,1,20,2016-09-30,0
"10323",1178,1178,"8","2016-09-30 19:05:01.573","2016-09-30 19:05:01.573","NULL",0,2,1,17.5,2016-09-30,0
